# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
www.example.com;598;2018-09-17 00:10:01;311416;3612996;92.06;198932;2934112;1664744;27.80
www.example.com;597;2018-09-17 00:20:01;311760;3612652;92.06;199036;2934124;1664336;27.79
www.example.com;595;2018-09-17 00:30:01;311324;3613088;92.07;199152;2934132;1664608;27.80
www.example.com;595;2018-09-17 00:40:01;311668;3612744;92.06;199264;2934148;1663536;27.78
www.example.com;594;2018-09-17 00:50:01;311388;3613024;92.07;199372;2934160;1664664;27.80
www.example.com;597;2018-09-17 01:00:01;291988;3632424;92.56;199484;2934184;1690652;28.23
www.example.com;597;2018-09-17 01:10:01;289508;3634904;92.62;199628;2935308;1691524;28.24
www.example.com;593;2018-09-17 01:20:01;307652;3616760;92.16;199776;2935324;1665688;27.81
www.example.com;592;2018-09-17 01:30:01;306536;3617876;92.19;199904;2935336;1670608;27.90
www.example.com;596;2018-09-17 01:40:01;305468;3618944;92.22;200032;2935344;1671696;27.91
www.example.com;596;2018-09-17 01:50:01;305468;3618944;92.22;200172;2935352;1670860;27.90
www.example.com;597;2018-09-17 02:00:01;310220;3614192;92.10;200308;2935376;1661436;27.74
www.example.com;598;2018-09-17 02:10:01;306800;3617612;92.18;200456;2935500;1665452;27.81
www.example.com;596;2018-09-17 02:20:01;314180;3610232;91.99;200560;2936660;1655532;27.64
www.example.com;596;2018-09-17 02:30:01;301196;3623216;92.33;200660;2936672;1674500;27.96
www.example.com;597;2018-09-17 02:40:01;307956;3616456;92.15;200792;2936676;1663916;27.78
www.example.com;596;2018-09-17 02:50:01;306100;3618312;92.20;200928;2936688;1662336;27.76
www.example.com;595;2018-09-17 03:00:01;288552;3635860;92.65;201048;2936716;1692024;28.25
www.example.com;595;2018-09-17 03:10:01;292304;3632108;92.55;201228;2936992;1683788;28.12
www.example.com;593;2018-09-17 03:20:01;293112;3631300;92.53;201356;2937000;1682312;28.09
www.example.com;597;2018-09-17 03:30:01;296056;3628356;92.46;201460;2937008;1682404;28.09
www.example.com;594;2018-09-17 03:40:01;305752;3618660;92.21;201604;2937012;1665600;27.81
