timestamp;Eureka;Lincoln;Newark
1.1.1964 10:10;46.6;31.6;34.3
1.2.1964 10:10;47;31.3;31.9
1.3.1964 10:10;45.7;35.3;42.6
1.4.1964 10:10;47.1;53.2;49.1
1.5.1964 10:10;50.4;67.9;65.4
1.6.1964 10:10;54.8;71.7;71.2
1.7.1964 10:10;56.6;82;76.
1.8.1964 10:10;57;72;73.9
1.9.1964 10:10;55.2;65.7;68.9
1.10.1964 10:10;54.9;54.8;55.9
1.11.1964 10:10;50;42.2;49.4
1.12.1964 10:10;48.5;26.5;35.9
1.1.1965 10:10;47.3;24.4;28.3
1.2.1965 10:10;45.7;22.6;32.4
1.3.1965 10:10;48.5;26.7;39.
1.4.1965 10:10;50.1;52.5;50.
1.5.1965 10:10;49.9;66.7;67.3
1.6.1965 10:10;51.9;70.8;71.6
1.7.1965 10:10;54.8;75.8;75.7
1.8.1965 10:10;58.9;74.8;74.5
1.9.1965 10:10;53.9;60.1;68.4
1.10.1965 10:10;55.7;57.8;54.
1.11.1965 10:10;54.6;42.9;44.4
1.12.1965 10:10;47;36.2;38.8
1.1.1966 10:10;47.7;18.4;30.4
1.2.1966 10:10;46.5;28.3;33.2
1.3.1966 10:10;48;43.2;41.7
1.4.1966 10:10;50.4;46.7;48.2
1.5.1966 10:10;50.4;61.4;59.3
1.6.1966 10:10;55.5;72.5;73.8
1.7.1966 10:10;56.6;81.4;79.6
1.8.1966 10:10;55.9;72.6;76.5
1.9.1966 10:10;58;63.9;66.6
1.10.1966 10:10;53.2;55.6;55.5
1.11.1966 10:10;52.6;40.5;48.9
1.12.1966 10:10;49.5;28.2;36.5
1.1.1967 10:10;47.4;25.2;36.9
1.2.1967 10:10;47.6;29.3;29.4
1.3.1967 10:10;46.7;43.6;37.6
1.4.1967 10:10;46.2;54.1;50.9
1.5.1967 10:10;51.9;59;54.3
1.6.1967 10:10;54.6;70.1;72.
1.7.1967 10:10;56.5;74.9;74.2
1.8.1967 10:10;56.8;72.8;73.5
1.9.1967 10:10;59.1;63.5;66.6
1.10.1967 10:10;56.9;53.7;56.4
1.11.1967 10:10;53.3;39.4;42.2
1.12.1967 10:10;45.1;29.9;38.3
1.1.1968 10:10;46.6;24.9;27.8
1.2.1968 10:10;53.2;28.2;29.9
1.3.1968 10:10;50.6;46;43.1
1.4.1968 10:10;48.1;52.9;54.
1.5.1968 10:10;52.4;58.8;59.6
1.6.1968 10:10;55.5;74.6;69.7
1.7.1968 10:10;56.3;77.8;78.2
1.8.1968 10:10;59.3;76;76.9
1.9.1968 10:10;57.5;66.2;70.7
1.10.1968 10:10;53.3;57.2;59.7
1.11.1968 10:10;51.8;38.1;45.7
1.12.1968 10:10;46.5;24.1;32.5
1.1.1969 10:10;44;19.6;31.3
1.2.1969 10:10;46.2;27.1;31.3
1.3.1969 10:10;48.3;31.6;38.8
1.4.1969 10:10;49.8;54.1;54.6
1.5.1969 10:10;53.4;64.3;64.1
1.6.1969 10:10;56.6;68.5;72.8
1.7.1969 10:10;55.6;79.1;74.2
1.8.1969 10:10;55.8;76.8;77.3
1.9.1969 10:10;56.5;68.7;67.5
1.10.1969 10:10;55.2;50.4;56.2
1.11.1969 10:10;51.3;42.7;45.5
1.12.1969 10:10;51.3;27;33.1
1.1.1970 10:10;52.1;18.6;24.2
1.2.1970 10:10;51.4;33.2;33.
1.3.1970 10:10;49.9;36;39.
1.4.1970 10:10;47.4;53.4;51.9
1.5.1970 10:10;52.3;68.3;64.6
1.6.1970 10:10;54.3;74.9;70.9
1.7.1970 10:10;54.8;79.1;77.2
1.8.1970 10:10;55.3;78;77.3
1.9.1970 10:10;55.7;66;70.6
1.10.1970 10:10;52.6;52;59.5
1.11.1970 10:10;53.5;39;49.1
1.12.1970 10:10;47.4;31.2;35.3
1.1.1971 10:10;45.7;19.9;27.3
1.2.1971 10:10;46.3;26.3;35.2
1.3.1971 10:10;47.1;37.5;41.2
1.4.1971 10:10;48.1;54.3;51.4
1.5.1971 10:10;50.6;60.4;60.6
1.6.1971 10:10;54.3;78;74.8
1.7.1971 10:10;55.2;74.6;77.8
1.8.1971 10:10;60;76.2;76.
1.9.1971 10:10;56.7;68.1;71.8
1.10.1971 10:10;50.6;58.8;63.2
1.11.1971 10:10;49.4;41.8;46.2
1.12.1971 10:10;45;31.2;41.4
1.1.1972 10:10;44.6;20.8;35.4
1.2.1972 10:10;49;26.1;31.3
1.3.1972 10:10;51.2;41.5;40.5
1.4.1972 10:10;49.1;49.7;50.
1.5.1972 10:10;51.2;60.7;63.
1.6.1972 10:10;54.6;71.2;68.8
1.7.1972 10:10;57.8;74.1;77.9
1.8.1972 10:10;58.2;72.2;75.9
1.9.1972 10:10;55.8;65.1;69.8
1.10.1972 10:10;54.2;49;53.3
1.11.1972 10:10;51.8;36.2;44.8
1.12.1972 10:10;54.7;21.6;39.7
1.1.1973 10:10;47.3;23.4;35.5
1.2.1973 10:10;50.7;28.4;33.3
1.3.1973 10:10;47.4;42.6;48.6
1.4.1973 10:10;50.1;49.6;54.2
1.5.1973 10:10;52;59;60.4
1.6.1973 10:10;55.1;73.4;74.6
1.7.1973 10:10;55.6;75;78.7
1.8.1973 10:10;54.8;77.2;79.6
1.9.1973 10:10;57.1;63.2;71.
1.10.1973 10:10;52.1;56.1;60.3
1.11.1973 10:10;51.4;39;48.8
1.12.1973 10:10;51.2;21.8;39.4
